
Epoch 0 --> 17/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085593, L_CE=0.163815, Now=20:48:13
Epoch 0 --> 18/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085278, L_CE=0.163329, Now=20:50:19
Epoch 0 --> 18/100, i=1000/2500, -3.00dB/90Hz, Tr_BER=0.085639, L_CE=0.163964, Now=20:52:11
Epoch 0 --> 18/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085532, L_CE=0.163746, Now=20:54:04
Epoch 0 --> 18/100, i=2000/2500, -3.00dB/90Hz, Tr_BER=0.085525, L_CE=0.163711, Now=20:55:56
Epoch 0 --> 18/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.085559, L_CE=0.163764, Now=20:57:49
Epoch 0 --> 19/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085558, L_CE=0.163829, Now=20:59:55
Epoch 0 --> 19/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085490, L_CE=0.163669, Now=21:01:47
Epoch 0 --> 19/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085398, L_CE=0.163550, Now=21:03:38
Epoch 0 --> 19/100, i=2000/2500, -3.00dB/90Hz, Tr_BER=0.085474, L_CE=0.163623, Now=21:05:30
Epoch 0 --> 19/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085528, L_CE=0.163721, Now=21:07:21
Epoch 0 --> 20/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085252, L_CE=0.163202, Now=21:09:26
Epoch 0 --> 20/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085418, L_CE=0.163490, Now=21:11:18
Epoch 0 --> 20/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085539, L_CE=0.163713, Now=21:13:10
Epoch 0 --> 20/100, i=2000/2500, -3.00dB/90Hz, Tr_BER=0.085546, L_CE=0.163753, Now=21:15:03
Epoch 0 --> 20/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085481, L_CE=0.163650, Now=21:16:54
Epoch 0 --> 21/100, i= 500/2500, -5.00dB/90Hz, Tr_BER=0.085598, L_CE=0.163868, Now=21:19:00
Epoch 0 --> 21/100, i=1000/2500, -3.00dB/90Hz, Tr_BER=0.085542, L_CE=0.163754, Now=21:20:52
Epoch 0 --> 21/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085547, L_CE=0.163779, Now=21:22:43
Epoch 0 --> 21/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085556, L_CE=0.163795, Now=21:24:35
Epoch 0 --> 21/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085473, L_CE=0.163639, Now=21:26:27
Epoch 0 --> 22/100, i= 500/2500, -3.00dB/90Hz, Tr_BER=0.085485, L_CE=0.163750, Now=21:28:32
Epoch 0 --> 22/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085613, L_CE=0.163852, Now=21:30:23
Epoch 0 --> 22/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085423, L_CE=0.163519, Now=21:32:14
Epoch 0 --> 22/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085419, L_CE=0.163513, Now=21:34:05
Epoch 0 --> 22/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085469, L_CE=0.163636, Now=21:35:58
Epoch 0 --> 23/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085332, L_CE=0.163380, Now=21:38:03
Epoch 0 --> 23/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085270, L_CE=0.163257, Now=21:39:55
Epoch 0 --> 23/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085295, L_CE=0.163353, Now=21:41:47
Epoch 0 --> 23/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085399, L_CE=0.163511, Now=21:43:38
Epoch 0 --> 23/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085468, L_CE=0.163634, Now=21:45:30
Epoch 0 --> 24/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085706, L_CE=0.164012, Now=21:47:35
Epoch 0 --> 24/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085423, L_CE=0.163529, Now=21:49:26
Epoch 0 --> 24/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085420, L_CE=0.163543, Now=21:51:18
Epoch 0 --> 24/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085467, L_CE=0.163647, Now=21:53:11
Epoch 0 --> 24/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.085467, L_CE=0.163633, Now=21:55:03
Epoch 0 --> 25/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085524, L_CE=0.163740, Now=21:57:08
Epoch 0 --> 25/100, i=1000/2500, -3.00dB/90Hz, Tr_BER=0.085409, L_CE=0.163506, Now=21:59:00
Epoch 0 --> 25/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085420, L_CE=0.163568, Now=22:00:52
Epoch 0 --> 25/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085427, L_CE=0.163558, Now=22:02:46
Epoch 0 --> 25/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.085467, L_CE=0.163631, Now=22:04:38
Epoch 0 --> 26/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085470, L_CE=0.163656, Now=22:06:44
Epoch 0 --> 26/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085324, L_CE=0.163392, Now=22:08:35
Epoch 0 --> 26/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085515, L_CE=0.163701, Now=22:10:27
Epoch 0 --> 26/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085505, L_CE=0.163725, Now=22:12:19
Epoch 0 --> 26/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085465, L_CE=0.163630, Now=22:14:11
Epoch 0 --> 27/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085090, L_CE=0.163037, Now=22:16:17
Epoch 0 --> 27/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085423, L_CE=0.163574, Now=22:18:08
Epoch 0 --> 27/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085422, L_CE=0.163616, Now=22:20:00
Epoch 0 --> 27/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085426, L_CE=0.163568, Now=22:21:52
Epoch 0 --> 27/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085466, L_CE=0.163629, Now=22:23:43
Epoch 0 --> 28/100, i= 500/2500, -3.00dB/90Hz, Tr_BER=0.085431, L_CE=0.163601, Now=22:25:48
