
Epoch 0 --> 19/200, i=2500/2500, -4.00dB/120Hz, Tr_BER=0.103470, L_CE=0.191122, Now=13:50:23
Epoch 0 --> 20/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.105860, L_CE=0.194798, Now=13:54:26
Epoch 0 --> 20/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.105495, L_CE=0.194081, Now=13:55:59
Epoch 0 --> 20/200, i=1500/2500, -3.00dB/150Hz, Tr_BER=0.105135, L_CE=0.193491, Now=13:57:33
Epoch 0 --> 20/200, i=2000/2500, -3.00dB/150Hz, Tr_BER=0.104880, L_CE=0.193019, Now=13:59:07
Epoch 0 --> 20/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.104805, L_CE=0.192901, Now=14:00:40
Epoch 0 --> 21/200, i= 500/2500, -3.00dB/150Hz, Tr_BER=0.104135, L_CE=0.191758, Now=14:02:29
Epoch 0 --> 21/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.104291, L_CE=0.192082, Now=14:04:03
Epoch 0 --> 21/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.104469, L_CE=0.192321, Now=14:05:36
Epoch 0 --> 21/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.104502, L_CE=0.192435, Now=14:07:08
Epoch 0 --> 21/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.104494, L_CE=0.192445, Now=14:08:42
Epoch 0 --> 22/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.104134, L_CE=0.191852, Now=14:10:31
Epoch 0 --> 22/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.104439, L_CE=0.192286, Now=14:12:06
Epoch 0 --> 22/200, i=1500/2500, -3.00dB/150Hz, Tr_BER=0.104283, L_CE=0.192043, Now=14:13:40
Epoch 0 --> 22/200, i=2000/2500, -3.00dB/150Hz, Tr_BER=0.104266, L_CE=0.192026, Now=14:15:14
Epoch 0 --> 22/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.104246, L_CE=0.192029, Now=14:16:47
Epoch 0 --> 23/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.104252, L_CE=0.192129, Now=14:18:36
Epoch 0 --> 23/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.104290, L_CE=0.192250, Now=14:20:11
Epoch 0 --> 23/200, i=1500/2500, -3.00dB/150Hz, Tr_BER=0.104207, L_CE=0.191998, Now=14:21:46
Epoch 0 --> 23/200, i=2000/2500, -3.00dB/150Hz, Tr_BER=0.104041, L_CE=0.191738, Now=14:23:21
Epoch 0 --> 23/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.104102, L_CE=0.191830, Now=14:24:56
Epoch 0 --> 24/200, i= 500/2500, -3.00dB/150Hz, Tr_BER=0.104073, L_CE=0.191693, Now=14:26:42
Epoch 0 --> 24/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.103994, L_CE=0.191630, Now=14:28:16
Epoch 0 --> 24/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.104014, L_CE=0.191770, Now=14:29:50
Epoch 0 --> 24/200, i=2000/2500, -3.00dB/150Hz, Tr_BER=0.103935, L_CE=0.191606, Now=14:31:25
Epoch 0 --> 24/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.104044, L_CE=0.191786, Now=14:33:01
Epoch 0 --> 25/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.102911, L_CE=0.189920, Now=14:34:45
Epoch 0 --> 25/200, i=1000/2500, -3.00dB/150Hz, Tr_BER=0.103355, L_CE=0.190712, Now=14:36:18
Epoch 0 --> 25/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.103493, L_CE=0.190911, Now=14:37:54
Epoch 0 --> 25/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.103630, L_CE=0.191136, Now=14:39:28
Epoch 0 --> 25/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.103815, L_CE=0.191424, Now=14:41:01
Epoch 0 --> 26/200, i= 500/2500, -3.00dB/150Hz, Tr_BER=0.102879, L_CE=0.189924, Now=14:42:47
Epoch 0 --> 26/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.103197, L_CE=0.190477, Now=14:44:20
